# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	42928
#@/user_id	ab7a14e5-ae21-41f1-b36e-b856550d5341
a 	啊	c=63 d=0.402358 t=42928
fen ge 	分隔	c=1 d=8.48416e-67 t=42928
fen ge fu 	分隔符	c=1 d=2.06565e-64 t=42928
fen gei 	分給	c=2 d=2.07001e-31 t=42928
fen gei wo 	分給我	c=1 d=2.08038e-30 t=42928
fen gong 	分工	c=1 d=1 t=40903
fen kai 	分開	c=4 d=1.641e-33 t=42928
fen ku 	分庫	c=2 d=1.37783e-06 t=42928
fen lei 	分類	c=18 d=0.808572 t=42928
fen li 	分離	c=2 d=3.69197e-43 t=42928
fen pei 	分配	c=15 d=7.08925e-07 t=42928
fen pei ge 	分配個	c=1 d=1.87813e-62 t=42928
fen pi 	分批	c=2 d=2.44808e-24 t=42928
fen qu 	分區	c=1 d=0.543351 t=42928
fen shu 	分數	c=7 d=8.46425e-10 t=42928
fen shu duan 	分數段	c=1 d=1.01854e-69 t=42928
fen wei 	分爲	c=1 d=2.43422e-25 t=42928
fen xiang 	分享	c=3 d=9.73485e-30 t=42928
fen zhi 	分支	c=22 d=4.52845e-27 t=42928
fen zhong 	分鐘	c=11 d=0.00569801 t=42928
fen zu 	分組	c=1 d=1 t=39950
feng 	封	c=1 d=4.70556e-44 t=42928
feng 	峯	c=1 d=2.04858e-84 t=42928
feng 	風	c=1 d=9.3281e-65 t=42928
feng ge 	峯哥	c=51 d=0.0584257 t=42928
feng ge 	風格	c=1 d=1.499e-27 t=42928
feng hao 	封號	c=1 d=7.5368e-27 t=42928
feng jin 	封禁	c=1 d=4.5886e-42 t=42928
feng kong 	風控	c=14 d=0.383099 t=42928
feng li 	風力	c=1 d=5.72261e-52 t=42928
feng sha 	封殺	c=3 d=4.14842e-41 t=42928
feng tuan 	風團	c=2 d=0.00014039 t=42928
feng xian 	風險	c=22 d=0.470011 t=42928
feng zhuang 	封裝	c=5 d=1.66363e-17 t=42928
fo xi 	佛系	c=1 d=1.53397e-63 t=42928
fong den 	甮㩐	c=1 d=2.81588e-62 t=42928
fong fen 	甮分	c=1 d=3.1115e-60 t=42928
fou 	否	c=3 d=1.02006e-20 t=42928
fou ren 	否認	c=1 d=1.49355e-43 t=42928
fou ze 	否則	c=2 d=1.41439e-20 t=42928
fu 	福	c=2 d=4.94119e-80 t=42928
fu 	符	c=2 d=0.00247875 t=42928
fu 	附	c=1 d=1 t=39329
fu chi 	扶持	c=1 d=4.79393e-57 t=42928
fu dan 	負擔	c=1 d=5.98397e-48 t=42928
fu gai 	覆蓋	c=8 d=0.00612439 t=42928
fu he 	符合	c=9 d=0.00114769 t=42928
fu jia 	附加	c=1 d=2.18333e-10 t=42928
fu jian 	附件	c=2 d=1.2133e-09 t=42928
fu jin 	附近	c=2 d=8.08904e-06 t=42928
fu le 	服了	c=1 d=3.87045e-69 t=42928
fu li 	福利	c=1 d=2.949e-76 t=42928
fu mu 	父母	c=1 d=6.2592e-77 t=42928
fu qi 	夫妻	c=1 d=1.26991e-17 t=42928
fu wei 	復位	c=0 d=7.49028e-14 t=42928
fu wei shi 	復位是	c=1 d=7.52783e-13 t=42928
fu wu 	服務	c=48 d=1.61152 t=42928
fu wu dai li 	服務代理	c=1 d=1 t=42032
fu wu fei 	服務費	c=1 d=5.26076e-62 t=42928
fu wu qi 	服務器	c=12 d=0.647848 t=42928
fu wu yu 	服務於	c=1 d=1 t=42358
fu wu zhan 	服務站	c=1 d=2.34443e-24 t=42928
fu xian 	復現	c=2 d=0.000131698 t=42928
fu yin jian 	複印件	c=1 d=1.12631e-17 t=42928
fu yong 	復用	c=3 d=2.28453e-43 t=42928
fu yu 	賦予	c=1 d=1 t=42635
fu za 	複雜	c=9 d=0.285076 t=42928
fu za du 	複雜度	c=1 d=1.42197e-24 t=42928
fu zai 	負載	c=2 d=0.786628 t=42928
fu ze 	負責	c=14 d=0.0281885 t=42928
fu ze ren 	負責人	c=2 d=9.55641e-26 t=42928
fu ze ren 	負責任	c=1 d=0.00653881 t=42928
fu zhi 	複製	c=5 d=1.66603e-06 t=42928
fu zuo yong 	副作用	c=2 d=0.000183762 t=42928
gai 	改	c=96 d=1.38306 t=42928
gai 	該	c=20 d=0.532592 t=42928
gai ba gai ba 	改吧改吧	c=1 d=9.06812e-56 t=42928
gai bian 	改變	c=2 d=2.40746e-42 t=42928
gai cheng 	改成	c=20 d=0.553227 t=42928
gai cuo 	改錯	c=0 d=6.89281e-36 t=42928
gai cuo le 	改錯了	c=1 d=6.92736e-35 t=42928
gai de 	改得	c=1 d=1 t=40630
gai dong 	改動	c=6 d=0.00959157 t=42928
gai gai 	改改	c=1 d=3.38892e-06 t=42928
gai hao 	改好	c=1 d=8.11334e-60 t=42928
gai hao le 	改好了	c=2 d=7.17533e-37 t=42928
gai jin 	改進	c=1 d=0.00180897 t=42928
gai kuang 	概況	c=2 d=8.9167e-05 t=42928
gai le 	改了	c=18 d=0.261846 t=42928
gai le dian 	改了點	c=1 d=6.82422e-35 t=42928
gai lv 	概率	c=2 d=1.96263e-21 t=42928
gai nian 	概念	c=5 d=0.00018046 t=42928
gai shu 	概述	c=7 d=0.0154291 t=42928
gai wan 	改完	c=3 d=8.15618e-15 t=42928
gai wan le 	改完了	c=2 d=2.00017e-38 t=42928
gai xia 	改下	c=2 d=1.67849e-34 t=42928
gai yao 	概要	c=1 d=1.86362e-59 t=42928
gai you 	該有	c=1 d=6.95238e-48 t=42928
gai zao 	改造	c=11 d=1.4298e-08 t=42928
gan 	幹	c=3 d=3.58346e-45 t=42928
gan 	敢	c=1 d=4.66682e-35 t=42928
gan 	杆	c=0 d=2.21241e-49 t=42928
gan 	趕	c=2 d=1.82231e-60 t=42928
gan bu shang 	趕不上	c=2 d=4.32593e-25 t=42928
gan de liao 	幹得了	c=1 d=1.11276e-51 t=42928
gan diao 	幹掉	c=2 d=1.0526 t=41033
gan ga 	尷尬	c=4 d=5.6328e-13 t=42928
gan huo er 	幹活兒	c=2 d=2.37938e-51 t=42928
gan jin 	趕緊	c=1 d=2.36751e-51 t=42928
gan jing 	乾淨	c=0 d=1.76569e-72 t=42928
gan jue 	感覺	c=37 d=0.00109719 t=42928
gan jue shang 	感覺上	c=1 d=1.40028e-49 t=42928
gan ma 	幹嘛	c=13 d=1.82249e-19 t=42928
gan ma yong 	幹嘛用	c=1 d=2.22237e-42 t=42928
gan rao 	干擾	c=1 d=6.25387e-67 t=42928
gan sha 	幹啥	c=10 d=1.26923e-05 t=42928
gan sha le 	幹啥了	c=1 d=3.09019e-38 t=42928
gan she 	干涉	c=1 d=3.137e-09 t=42928
gan shen me 	幹什麼	c=3 d=2.50622e-15 t=42928
gan shen me yong 	幹什麼用	c=1 d=6.38932e-25 t=42928
gan si dui 	敢死隊	c=1 d=1.11469e-42 t=42928
gan wan 	幹完	c=0 d=3.3471e-08 t=42928
gan wan huo 	幹完活	c=1 d=3.36388e-07 t=42928
gan xie 	感謝	c=4 d=0.00615802 t=42928
gang 	剛	c=23 d=2.46526e-05 t=42928
gang cai 	剛纔	c=59 d=0.351205 t=42928
gang gang 	剛剛	c=1 d=3.26391e-05 t=42928
gang kai shi 	剛開始	c=1 d=5.35796e-43 t=42928
gang kai shi zuo 	剛開始做	c=1 d=5.38477e-42 t=42928
gang si 	鋼絲	c=1 d=1.58608e-05 t=42928
gang si qiu 	剛死囚	c=1 d=1.42323e-05 t=42928
gang si qiu 	鋼絲球	c=1 d=1.56506e-05 t=42928
gao 	搞	c=19 d=7.72469e-06 t=42928
gao 	高	c=12 d=1.15856 t=42928
gao bie 	告別	c=1 d=1 t=39999
gao bu chu 	搞不出	c=1 d=4.10629e-59 t=42928
gao bu dao 	搞不到	c=1 d=2.44268e-07 t=42928
gao bu qing chu 	搞不清楚	c=1 d=4.23306e-05 t=42928
gao bu wan 	搞不玩	c=1 d=3.97816e-39 t=42928
gao chu lai 	搞出來	c=1 d=1 t=39761
gao cuo 	搞錯	c=1 d=8.55195e-43 t=42928
gao da shang 	高大上	c=1 d=1.89024e-20 t=42928
gao de 	搞得	c=1 d=2.38521e-21 t=42928
gao de wo 	搞得我	c=1 d=1.59821e-75 t=42928
gao diao 	搞掉	c=1 d=1.60158e-41 t=42928
gao ding 	搞定	c=2 d=7.93131e-39 t=42928
gao duan 	高端	c=1 d=6.8145e-77 t=42928
gao fan 	搞反	c=1 d=6.10298e-15 t=42928
gao guo 	搞過	c=0 d=0.1 t=39622
gao guo lai 	搞過來	c=1 d=2.68374e-26 t=42928
gao hao 	搞好	c=2 d=7.37127e-81 t=42928
gao ji 	高級	c=18 d=0.618783 t=42928
gao ji shen he zu 	高級審覈組	c=1 d=5.34334e-10 t=42928
gao le 	搞了	c=2 d=5.83145e-09 t=42928
gao liang 	高亮	c=19 d=3.59683e-65 t=42928
gao ming 	高明	c=4 d=3.19408e-08 t=42928
gao o 	搞哦	c=1 d=0.00249118 t=42928
gao pei 	高配	c=1 d=1 t=41680
gao su 	告訴	c=5 d=2.15412e-28 t=42928
gao su 	高速	c=9 d=2.85513e-19 t=42928
gao su ta 	告訴他	c=1 d=4.9026e-56 t=42928
gao su wo 	告訴我	c=4 d=0.00621991 t=42928
gao xia qu 	搞下去	c=1 d=3.75171e-26 t=42928
gao xiao 	搞笑	c=1 d=4.69915e-28 t=42928
gao xiao 	高效	c=1 d=1 t=42626
gao xiao 	高校	c=1 d=4.67572e-28 t=42928
gao you 	高優	c=1 d=5.42409e-10 t=42928
gao zhi 	告知	c=1 d=1.14508e-35 t=42928
ge 	個	c=65 d=0.279459 t=42928
ge 	各	c=0 d=4.86918e-06 t=42928
ge 	哥	c=2 d=2.51862e-73 t=42928
ge de 	各的	c=0 d=3.91147e-47 t=42928
ge di 	各地	c=1 d=1.26741e-82 t=42928
ge ge 	各個	c=5 d=4.93648e-18 t=42928
ge le 	隔了	c=1 d=2.93739e-59 t=42928
ge lie 	割裂	c=1 d=1.98742e-51 t=42928
ge lun ge de 	各論各的	c=1 d=3.93108e-46 t=42928
ge men er 	哥們兒	c=3 d=3.39065e-12 t=42928
ge ming 	革命	c=2 d=9.14242e-05 t=42928
ge ren 	個人	c=7 d=0.0106936 t=42928
ge ren zong jie 	個人總結	c=1 d=0.000127806 t=42928
ge shi 	格式	c=43 d=6.22203e-07 t=42928
ge shi hua 	格式化	c=3 d=5.41746e-25 t=42928
ge shu 	個數	c=1 d=1 t=41249
ge tai 	各臺	c=1 d=0.442639 t=42928
ge wei 	各位	c=1 d=1 t=39937
ge you 	各有	c=0 d=4.86918e-06 t=42928
ge you ge 	各有各	c=1 d=4.89359e-05 t=42928
ge zhong 	各種	c=8 d=0.00056322 t=42928
gei 	給	c=62 d=0.808284 t=42928
gei ban 	給辦	c=1 d=1.00187e-22 t=42928
gei chu 	給出	c=2 d=0.00117675 t=42928
gei ge 	給個	c=1 d=3.68608e-83 t=42928
gei hai zi 	給孩子	c=1 d=6.03711e-05 t=42928
gei ni 	給你	c=20 d=1.59445e-18 t=42928
gei ni men 	給你們	c=1 d=1.99331e-27 t=42928
gei ta 	給他	c=4 d=0.00690852 t=42928
gei ta 	給她	c=1 d=4.73881e-68 t=42928
gei ta men 	給他們	c=1 d=2.23306e-69 t=42928
gei wen 	給問	c=1 d=1.63088e-19 t=42928
gei wo 	給我	c=15 d=0.00045169 t=42928
gei wo men 	給我們	c=4 d=2.89621e-40 t=42928
gen 	跟	c=55 d=0.119558 t=42928
gen ben 	根本	c=4 d=0.0109756 t=42928
gen chan pin 	跟產品	c=1 d=4.67333e-22 t=42928
gen jin 	跟進	c=2 d=1.30608e-13 t=42928
gen ju 	根據	c=39 d=5.8388e-07 t=42928
gen ni 	跟你	c=12 d=0.496471 t=42928
gen ni jiang 	跟你講	c=1 d=1.40251e-09 t=42928
gen ni men 	跟你們	c=1 d=4.63787e-50 t=42928
gen ni shuo 	跟你說	c=3 d=6.85143e-23 t=42928
gen ren 	跟人	c=1 d=5.55951e-06 t=42928
gen shang 	跟上	c=1 d=1 t=42908
gen shui 	跟誰	c=2 d=1.63656e-06 t=42928
gen sui 	跟隨	c=1 d=3.42625e-76 t=42928
gen ta 	跟他	c=5 d=1.14629e-18 t=42928
gen ta men 	跟他們	c=3 d=4.14064e-10 t=42928
gen ta shuo 	跟他說	c=1 d=2.69903e-34 t=42928
gen wo 	跟我	c=11 d=1.46657e-06 t=42928
gen zong 	跟蹤	c=1 d=7.39786e-14 t=42928
geng 	更	c=23 d=0.25994 t=42928
geng da 	更大	c=3 d=6.8563e-06 t=42928
geng duo 	更多	c=10 d=0.329559 t=42928
geng fang bian 	更方便	c=1 d=7.29517e-26 t=42928
geng gao 	更高	c=6 d=8.12256e-37 t=42928
geng geng 	耿耿	c=0 d=1.60567e-72 t=42928
geng geng geng geng geng geng geng geng geng geng geng geng geng geng 	耿耿耿耿耿耿耿耿耿耿耿耿耿耿	c=1 d=1.61372e-71 t=42928
geng hao 	更好	c=6 d=5.6951e-10 t=42928
geng hao yong 	更好用	c=1 d=6.41786e-48 t=42928
geng jin 	更近	c=1 d=2.33353e-28 t=42928
geng jin 	更進	c=1 d=2.34523e-28 t=42928
geng neng 	更能	c=1 d=1.50201e-80 t=42928
geng shuang 	更雙	c=1 d=1 t=41899
geng tong yong 	更通用	c=1 d=1 t=42757
geng xiao 	更小	c=1 d=1.63393e-41 t=42928
geng xin 	更新	c=63 d=0.00235789 t=42928
geng xin le 	更新了	c=1 d=5.37086e-41 t=42928
geng xin shi 	更新時	c=1 d=3.47201e-85 t=42928
geng you 	更有	c=0 d=4.50693e-67 t=42928
geng you hao 	更有好	c=1 d=4.52952e-66 t=42928
geng zheng 	更正	c=1 d=4.31609e-57 t=42928
geng zhong yao 	更重要	c=1 d=2.88137e-09 t=42928
geng zhun 	更準	c=1 d=9.38124e-73 t=42928
gong 	供	c=3 d=0.0332068 t=42928
gong 	工	c=1 d=1.18072e-72 t=42928
gong bu 	公佈	c=1 d=6.15009e-76 t=42928
gong chang 	工廠	c=5 d=9.69898e-28 t=42928
gong gao 	公告	c=1 d=2.23648e-37 t=42928
gong gong 	公共	c=2 d=1.57286e-34 t=42928
gong hao 	工號	c=1 d=8.14344e-26 t=42928
gong ju 	工具	c=4 d=3.90416e-24 t=42928
gong li 	公里	c=2 d=1.29116e-51 t=42928
gong neng 	功能	c=58 d=0.129509 t=42928
gong ping 	公平	c=2 d=1.44806e-65 t=42928
gong ren 	公認	c=1 d=1.66921e-57 t=42928
gong ren 	工人	c=1 d=1.66088e-57 t=42928
gong si 	公司	c=17 d=0.015626 t=42928
gong wang 	公網	c=1 d=5.944e-28 t=42928
gong wei 	工位	c=1 d=1 t=41176
gong xi 	恭喜	c=2 d=8.87883e-06 t=42928
gong xian 	貢獻	c=1 d=1 t=40247
gong xiang 	共享	c=1 d=1.52139e-25 t=42928
gong xiu 	公休	c=1 d=4.87664e-23 t=42928
gong yong 	共用	c=1 d=1.40199e-34 t=42928
gong you 	共有	c=1 d=3.4371e-25 t=42928
gong zi 	工資	c=1 d=3.96869e-11 t=42928
gong zuo 	工作	c=95 d=3.33416 t=42928
gong zuo jing yan 	工作經驗	c=1 d=1.20543e-51 t=42928
gong zuo liang 	工作量	c=5 d=2.18407e-14 t=42928
gong zuo ri 	工作日	c=2 d=2.05052e-07 t=42928
gou 	夠	c=3 d=3.46692e-09 t=42928
gou bu gou 	夠不夠	c=1 d=2.4183e-36 t=42928
gou jian 	構建	c=2 d=3.66793e-25 t=42928
gou le 	夠了	c=0 d=2.6125e-34 t=42928
gou le ma 	夠了嗎	c=1 d=2.6256e-33 t=42928
gou qiang 	夠嗆	c=1 d=4.71357e-64 t=42928
gou shang 	勾上	c=1 d=1.57612e-29 t=42928
gou tong 	溝通	c=19 d=7.31052e-07 t=42928
gou xuan 	勾選	c=4 d=9.33029e-09 t=42928
gou yong 	夠用	c=0 d=4.29077e-77 t=42928
gou zao 	構造	c=3 d=2.71118e-28 t=42928
gou zi 	鉤子	c=1 d=1 t=41279
gu ding 	固定	c=2 d=1.10894e-40 t=42928
gu ji 	估計	c=13 d=0.00383634 t=42928
gu niang 	姑娘	c=1 d=1.37755e-33 t=42928
gu shi 	故事	c=2 d=1.6712e-71 t=42928
gu you 	固有	c=1 d=0.000639387 t=42928
gu zhang 	故障	c=3 d=2.66256e-21 t=42928
gua 	掛	c=6 d=1.11185 t=42928
gua hao 	掛號	c=1 d=2.06579e-06 t=42928
gua le 	掛了	c=1 d=6.64533e-46 t=42928
gua mu xiang kan 	刮目相看	c=1 d=2.59127e-84 t=42928
gua zai 	掛在	c=1 d=1.65896e-14 t=42928
gua zai 	掛載	c=1 d=1.66728e-14 t=42928
guai bu de 	怪不得	c=3 d=4.03483e-20 t=42928
guan 	慣	c=1 d=2.92392e-05 t=42928
guan 	管	c=9 d=0.172907 t=42928
guan 	關	c=1 d=5.70881e-53 t=42928
guan bi 	關閉	c=4 d=7.06873e-08 t=42928
guan ce 	觀測	c=1 d=1.90353e-73 t=42928
guan cha 	觀察	c=9 d=1.79652e-10 t=42928
guan diao 	關掉	c=3 d=2.52409e-10 t=42928
guan fang 	官方	c=5 d=0.00404611 t=42928
guan jian 	關鍵	c=1 d=0.000488095 t=42928
guan jian ci 	關鍵詞	c=104 d=0.0746832 t=42928
guan jian ci fu wu 	關鍵詞服務	c=1 d=3.21805e-15 t=42928
guan li 	管理	c=34 d=0.263198 t=42928
guan li mian 	管裏面	c=1 d=4.95103e-54 t=42928
guan li qi 	管理器	c=1 d=1.64783e-23 t=42928
guan li yuan 	管理員	c=13 d=4.04484e-21 t=42928
guan lian 	關聯	c=24 d=0.463045 t=42928
guan ta 	管他	c=1 d=5.5256e-81 t=42928
guan xi 	關係	c=22 d=0.0284076 t=42928
guan xi dao 	關係到	c=1 d=1.55446e-72 t=42928
guan xia 	管轄	c=1 d=9.74781e-24 t=42928
guan xin 	關心	c=4 d=2.3352e-08 t=42928
guan yu 	關於	c=7 d=1.30002e-28 t=42928
guan zhu 	關注	c=11 d=8.84753e-31 t=42928
guang biao 	光標	c=1 d=3.39216e-76 t=42928
guang gao 	廣告	c=2 d=2.7967e-50 t=42928
guang gao bu 	廣告不	c=1 d=1.73073e-71 t=42928
guang tou 	光頭	c=1 d=3.73566e-05 t=42928
gui 	櫃	c=1 d=1.55738e-46 t=42928
gui bi 	規避	c=1 d=6.10401e-17 t=42928
gui ding 	規定	c=4 d=1.40323e-15 t=42928
gui fan 	規範	c=5 d=4.5383e-30 t=42928
gui hua 	規劃	c=15 d=2.86876 t=42928
gui lv 	規律	c=1 d=5.04315e-65 t=42928
gui mo 	規模	c=1 d=3.47164e-25 t=42928
gui na 	歸納	c=1 d=7.33423e-30 t=42928
gui ren duo wang shi 	貴人多忘事	c=1 d=6.07525e-79 t=42928
gui yi 	詭異	c=1 d=9.62691e-83 t=42928
gui ze 	規則	c=18 d=0.124413 t=42928
guo 	國	c=2 d=1.60839 t=41795
guo 	過	c=54 d=0.00377752 t=42928
guo 	郭	c=0 d=0.0826959 t=42928
guo 	鍋	c=3 d=2.06572e-35 t=42928
guo bu liao 	過不了	c=1 d=2.95321e-34 t=42928
guo cheng 	過程	c=8 d=8.96292e-07 t=42928
guo cheng suan 	過程算	c=1 d=1.19803e-08 t=42928
guo da 	過大	c=1 d=1 t=42915
guo de 	過得	c=1 d=1.30308e-85 t=42928
guo duo 	過多	c=1 d=1 t=42486
guo gao 	過高	c=1 d=1 t=42881
guo ji tian 	過幾天	c=1 d=2.53702e-41 t=42928
guo jia 	國家	c=1 d=5.58607e-62 t=42928
guo jie 	過節	c=1 d=2.71357e-09 t=42928
guo ke da 	國科大	c=1 d=1 t=41472
guo lai 	過來	c=21 d=0.681784 t=42928
guo le 	過了	c=1 d=4.70251e-08 t=42928
guo liu 	國六	c=2 d=1.42528 t=41678
guo lv 	過濾	c=15 d=2.28896e-07 t=42928
guo min 	過敏	c=3 d=0.000209691 t=42928
guo min ti zhi 	過敏體質	c=1 d=9.05145e-05 t=42928
guo min yuan 	過敏原	c=1 d=6.09778e-05 t=42928
guo nei 	國內	c=1 d=2.77461e-06 t=42928
guo nian 	過年	c=1 d=2.54193e-05 t=42928
guo qu 	過去	c=4 d=6.77403e-07 t=42928
guo ran 	果然	c=2 d=6.658e-39 t=42928
guo shen 	過審	c=1 d=1.2402e-62 t=42928
guo wan 	過完	c=2 d=2.64712e-40 t=42928
guo xin 	國信	c=1 d=1.26659e-45 t=42928
guo yan long 	郭延龍	c=1 d=0.831104 t=42928
guo yu zhao 	郭玉朝	c=1 d=7.78511e-26 t=42928
ha 	哈	c=3 d=0.0330412 t=42928
ha ha 	哈哈	c=11 d=0.00436124 t=42928
ha ha ha 	哈哈哈	c=2 d=1.75999e-33 t=42928
hai 	還	c=145 d=1.36318 t=42928
hai bei 	海北	c=1 d=2.361e-48 t=42928
hai bei 	海貝	c=1 d=2.37283e-48 t=42928
hai bu gui 	還不貴	c=1 d=1 t=41974
hai bu ru 	還不如	c=5 d=0.000121654 t=42928
hai bu shi 	還不是	c=1 d=1.25143e-21 t=42928
hai bu zhi dao 	還不知道	c=1 d=1 t=40170
hai cha 	還差	c=1 d=2.27894e-73 t=42928
hai dei 	還得	c=19 d=0.00612731 t=42928
hai duo 	還多	c=0 d=0.1 t=40200
hai hao 	還好	c=4 d=4.35146e-07 t=42928
hai hui 	還會	c=3 d=0.0322254 t=42928
hai mei 	還沒	c=2 d=2.31748e-36 t=42928
hai mei cha 	還沒查	c=1 d=2.32909e-35 t=42928
hai mei you 	還沒有	c=1 d=1.47789e-66 t=42928
hai mian 	海綿	c=1 d=7.24251e-29 t=42928
hai neng 	還能	c=3 d=5.12929e-29 t=42928
hai neng bu neng 	還能不能	c=1 d=3.04263e-32 t=42928
hai pa 	害怕	c=0 d=1.53804e-07 t=42928
hai sheng 	還剩	c=1 d=4.57349e-62 t=42928
hai shi 	還是	c=99 d=0.334702 t=42928
hai shi hui 	還是會	c=1 d=1.36854e-44 t=42928
hai shuo 	還說	c=2 d=0.00104891 t=42928
hai wai 	海外	c=1 d=6.04122e-13 t=42928
hai xing 	還行	c=1 d=8.25245e-06 t=42928
hai xu yao 	還需要	c=3 d=0.0110536 t=42928
hai yao 	還要	c=9 d=0.00737249 t=42928
hai yi wei 	還以爲	c=4 d=3.41952e-13 t=42928
hai you 	還有	c=30 d=0.97531 t=42928
hai you dian 	還有點	c=2 d=2.87344e-06 t=42928
hai you ge 	還有個	c=1 d=3.60963e-13 t=42928
hai you shen me 	還有什麼	c=2 d=2.8131e-21 t=42928
hai you shen me yang de wen ti ne 	還有什麼樣的問題呢	c=1 d=5.26972e-82 t=42928
hai you wen ti 	還有問題	c=1 d=1.97348e-27 t=42928
hai zai 	還在	c=7 d=0.00470091 t=42928
hai zi 	孩子	c=13 d=0.000268177 t=42928
han 	含	c=4 d=3.9426e-51 t=42928
han 	汗	c=1 d=1 t=40002
han shu 	函數	c=9 d=4.8784e-24 t=42928
han you 	含有	c=1 d=2.4267e-18 t=42928
hang 	行	c=5 d=4.5959e-60 t=42928
hang qing 	行情	c=2 d=0.00162866 t=42928
hang ye 	行業	c=1 d=4.78481e-64 t=42928
hao 	好	c=87 d=0.967291 t=42928
hao 	號	c=26 d=0.00142319 t=42928
hao ba 	好吧	c=2 d=1.53486e-11 t=42928
hao bang yang 	好榜樣	c=4 d=9.05145e-05 t=42928
hao chi 	好吃	c=0 d=0.1 t=40052
hao dai 	好歹	c=2 d=1.67968e-13 t=42928
hao de 	好的	c=59 d=0.157629 t=42928
hao dong xi 	好東西	c=1 d=0.970446 t=42928
hao duo 	好多	c=5 d=0.882131 t=42928
hao duo nian 	好多年	c=1 d=2.70611e-06 t=42928
hao duo ren 	好多人	c=1 d=5.34936e-82 t=42928
hao duo shi 	好多事	c=1 d=2.11585e-23 t=42928
hao hao 	好好	c=1 d=0.000395642 t=42928
hao ji ci 	好幾次	c=1 d=9.41894e-32 t=42928
hao ji fen zhong 	好幾分鐘	c=1 d=1.9321e-13 t=42928
hao ji ge 	好幾個	c=3 d=0.960789 t=42928
hao ji nian 	好幾年	c=1 d=7.53375e-81 t=42928
hao ji wan 	好幾萬	c=1 d=2.50222e-55 t=42928
hao jiu 	好久	c=2 d=2.70367e-06 t=42928
hao kan 	好看	c=1 d=4.52259e-48 t=42928
hao le 	好了	c=12 d=1.10841e-05 t=42928
hao le 	薅了	c=1 d=4.90959e-14 t=42928
hao lei 	好累	c=1 d=1.08757e-17 t=42928
hao ping 	好評	c=1 d=1 t=42826
hao qi 	豪氣	c=1 d=2.42422e-06 t=42928
hao shen 	好深	c=1 d=1.56928e-66 t=42928
hao shi 	耗時	c=2 d=0.000393669 t=42928
hao xiang 	好像	c=37 d=0.0890301 t=42928
hao xiao 	好笑	c=1 d=1 t=39800
hao xin 	好心	c=1 d=5.69891e-62 t=42928
hao yi hui er 	好一會兒	c=1 d=2.01191e-48 t=42928
hao yong 	好用	c=2 d=0.882523 t=42928
hao you 	好友	c=0 d=9.99935e-60 t=42928
hao you quan 	好友圈	c=3 d=5.34721e-58 t=42928
hao yuan 	好遠	c=1 d=9.48259e-23 t=42928
hao zai 	好在	c=1 d=1 t=41881
hao zhe 	耗着	c=1 d=1.42459e-75 t=42928
hao zhe ne 	好着呢	c=1 d=1.43173e-75 t=42928
hao zhu yi 	好主意	c=1 d=1 t=40197
he 	合	c=19 d=6.90615e-29 t=42928
he 	和	c=276 d=3.51626 t=42928
he 	喝	c=0 d=2.28896e-08 t=42928
he 	盒	c=0 d=1.86489e-68 t=42928
he bei 	河北	c=1 d=4.22186e-62 t=42928
he biao ke 	和錶殼	c=1 d=1.16279e-39 t=42928
he bing 	合併	c=10 d=0.000884932 t=42928
he cheng 	合成	c=1 d=9.33316e-42 t=42928
he dai ma 	合代碼	c=1 d=6.94056e-28 t=42928
he ge 	合格	c=1 d=1.88594e-52 t=42928
he he 	呵呵	c=1 d=1 t=40251
he jiu 	喝酒	c=2 d=2.12054e-49 t=42928
he le 	合了	c=1 d=1 t=41724
he le 	喝了	c=1 d=7.48494e-34 t=42928
he li 	合理	c=3 d=0.000142667 t=42928
he nan sheng 	河南省	c=1 d=1.66037e-24 t=42928
he ni 	和你	c=2 d=1.44764e-58 t=42928
he shang mian 	和上面	c=1 d=1.40371e-19 t=42928
he shi 	合適	c=5 d=0.00717084 t=42928
he ta men 	和他們	c=1 d=6.72355e-66 t=42928
he tong 	合同	c=4 d=1.17819e-17 t=42928
he tong shang 	和同上	c=1 d=1.17228e-17 t=42928
he wo 	和我	c=1 d=3.59457e-52 t=42928
he xin 	核心	c=1 d=0.00544757 t=42928
he zi 	盒子	c=2 d=3.70984e-41 t=42928
hei se 	黑色	c=1 d=1.75205e-68 t=42928
hen 	很	c=23 d=0.369735 t=42928
hen bu de 	恨不得	c=1 d=6.45923e-06 t=42928
hen da 	很大	c=1 d=3.3918e-16 t=42928
hen di 	很低	c=2 d=0.519442 t=42928
hen duan 	很短	c=1 d=1.30747e-08 t=42928
hen duan shi jian 	很短時間	c=1 d=1 t=39759
hen duo 	很多	c=18 d=0.359671 t=42928
hen duo qian 	很多錢	c=1 d=4.59641e-62 t=42928
hen duo shi hou 	很多時候	c=1 d=3.28139e-09 t=42928
hen e 	恨惡	c=0 d=0.1 t=41858
hen e xin 	恨惡新	c=1 d=1 t=41859
hen gao 	很高	c=7 d=0.392586 t=42928
hen gui 	很貴	c=1 d=2.07614e-06 t=42928
hen hao 	很好	c=2 d=0.814647 t=42928
hen jin 	很近	c=0 d=1.97e-66 t=42928
hen jiu 	很久	c=2 d=1.84294e-16 t=42928
hen ke pa 	很可怕	c=1 d=7.437e-76 t=42928
